ID,BSSID,SSID,RSSI,cellID,type,scanID
1,b0:c2:87:e4:22:97,Ziggo89080-2.4G,-43,6,training,1
2,b2:c2:87:e4:22:98,Ziggo,-41,6,training,1
3,60:33:4b:e4:c5:69,Netwerk van Joost,-49,6,training,1
4,fc:ec:da:1a:0a:e9,innovate,-63,6,training,1
5,84:9c:a6:90:1f:88,Nitro,-58,6,training,1
6,fe:ec:da:1a:0a:e9,,-63,6,training,1
7,6a:02:98:05:a1:fd,Ziggo,-88,6,training,1
8,b0:c2:87:e4:22:97,Ziggo89080-2.4G,-47,6,training,2
9,b2:c2:87:e4:22:98,Ziggo,-46,6,training,2
10,60:33:4b:e4:c5:69,Netwerk van Joost,-51,6,training,2
11,fc:ec:da:1a:0a:e9,innovate,-63,6,training,2
12,84:9c:a6:90:1f:88,Nitro,-71,6,training,2
13,fe:ec:da:1a:0a:e9,,-63,6,training,2
14,6a:02:98:05:a1:fd,Ziggo,-90,6,training,2
15,ae:22:15:23:8a:eb,Ziggo,-81,6,training,2
16,ac:22:05:23:8a:eb,SRK,-81,6,training,2
17,6a:02:98:05:c5:14,Ziggo,-91,6,training,2
18,f4:f2:6d:8c:8b:0c,TP-LINK_AP_8B0C,-91,6,training,2
19,b0:c2:87:e4:22:97,Ziggo89080-2.4G,-47,6,training,3
20,b2:c2:87:e4:22:98,Ziggo,-46,6,training,3
21,60:33:4b:e4:c5:69,Netwerk van Joost,-51,6,training,3
22,fc:ec:da:1a:0a:e9,innovate,-62,6,training,3
23,84:9c:a6:90:1f:88,Nitro,-73,6,training,3
24,fe:ec:da:1a:0a:e9,,-63,6,training,3
25,6a:02:98:05:a1:fd,Ziggo,-88,6,training,3
26,ae:22:15:23:8a:eb,Ziggo,-81,6,training,3
27,ac:22:05:23:8a:eb,SRK,-81,6,training,3
28,6a:02:98:05:c5:14,Ziggo,-90,6,training,3
29,f4:f2:6d:8c:8b:0c,TP-LINK_AP_8B0C,-91,6,training,3
30,68:02:b8:05:a1:fd,Ziggo4211383,-89,6,training,3
31,68:02:b8:05:c5:14,Partytime,-91,6,training,3
32,b0:c2:87:e4:22:97,Ziggo89080-2.4G,-47,6,training,4
33,b2:c2:87:e4:22:98,Ziggo,-46,6,training,4
34,60:33:4b:e4:c5:69,Netwerk van Joost,-52,6,training,4
35,fc:ec:da:1a:0a:e9,innovate,-65,6,training,4
36,84:9c:a6:90:1f:88,Nitro,-71,6,training,4
37,fe:ec:da:1a:0a:e9,,-66,6,training,4
38,6a:02:98:05:a1:fd,Ziggo,-88,6,training,4
39,ae:22:15:23:8a:eb,Ziggo,-81,6,training,4
40,ac:22:05:23:8a:eb,SRK,-81,6,training,4
41,6a:02:98:05:c5:14,Ziggo,-90,6,training,4
42,f4:f2:6d:8c:8b:0c,TP-LINK_AP_8B0C,-88,6,training,4
43,68:02:b8:05:a1:fd,Ziggo4211383,-89,6,training,4
44,68:02:b8:05:c5:14,Partytime,-90,6,training,4
45,f6:57:40:94:e9:cc,Ziggo,-86,6,training,4
46,2a:35:d1:2b:3d:61,Ziggo,-90,6,training,4
47,38:d8:2f:0e:8f:0b,H368N0E8F0B,-90,6,training,4
48,b0:c2:87:e4:22:97,Ziggo89080-2.4G,-44,6,training,5
49,b2:c2:87:e4:22:98,Ziggo,-45,6,training,5
50,60:33:4b:e4:c5:69,Netwerk van Joost,-51,6,training,5
51,fc:ec:da:1a:0a:e9,innovate,-64,6,training,5
52,84:9c:a6:90:1f:88,Nitro,-72,6,training,5
53,fe:ec:da:1a:0a:e9,,-66,6,training,5
54,6a:02:98:05:a1:fd,Ziggo,-88,6,training,5
55,ae:22:15:23:8a:eb,Ziggo,-80,6,training,5
56,ac:22:05:23:8a:eb,SRK,-80,6,training,5
57,6a:02:98:05:c5:14,Ziggo,-92,6,training,5
58,f4:f2:6d:8c:8b:0c,TP-LINK_AP_8B0C,-88,6,training,5
59,68:02:b8:05:a1:fd,Ziggo4211383,-90,6,training,5
60,68:02:b8:05:c5:14,Partytime,-90,6,training,5
61,f6:57:40:94:e9:cc,Ziggo,-86,6,training,5
62,2a:35:d1:2b:3d:61,Ziggo,-90,6,training,5
63,38:d8:2f:0e:8f:0b,H368N0E8F0B,-90,6,training,5
64,48:d3:43:fd:59:19,Ziggo7431744,-94,6,training,5
65,b0:c2:87:e4:22:97,Ziggo89080-2.4G,-50,6,training,6
66,b2:c2:87:e4:22:98,Ziggo,-50,6,training,6
67,60:33:4b:e4:c5:69,Netwerk van Joost,-51,6,training,6
68,fc:ec:da:1a:0a:e9,innovate,-65,6,training,6
69,84:9c:a6:90:1f:88,Nitro,-79,6,training,6
70,fe:ec:da:1a:0a:e9,,-66,6,training,6
71,6a:02:98:05:a1:fd,Ziggo,-87,6,training,6
72,ae:22:15:23:8a:eb,Ziggo,-80,6,training,6
73,ac:22:05:23:8a:eb,SRK,-80,6,training,6
74,6a:02:98:05:c5:14,Ziggo,-92,6,training,6
75,f4:f2:6d:8c:8b:0c,TP-LINK_AP_8B0C,-88,6,training,6
76,68:02:b8:05:a1:fd,Ziggo4211383,-87,6,training,6
77,68:02:b8:05:c5:14,Partytime,-90,6,training,6
78,f6:57:40:94:e9:cc,Ziggo,-86,6,training,6
79,2a:35:d1:2b:3d:61,Ziggo,-90,6,training,6
80,38:d8:2f:0e:8f:0b,H368N0E8F0B,-90,6,training,6
81,48:d3:43:fd:59:19,Ziggo7431744,-94,6,training,6
82,ba:d5:26:e4:8c:71,,-92,6,training,6
83,b0:c2:87:e4:22:97,Ziggo89080-2.4G,-54,6,training,7
